molecule_chembl_id,canonical_smiles,type,standard_value,value
CHEMBL76688,CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)O)cc1,Inhibition,11.1,11.1
CHEMBL1400561,CCC(C(N)=O)N1CCCC1=O,Inhibition,13.6,13.6
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,Inhibition,-3.25,-3.25
CHEMBL2387080,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,Inhibition,0.95,0.95
CHEMBL866,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,Inhibition,-3.8,-3.8
CHEMBL110691,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,Inhibition,4.51,4.51
CHEMBL319244,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,Inhibition,7.06,7.06
CHEMBL28636,COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F,Inhibition,3.96,3.96
CHEMBL4092990,C=CC(=O)Nc1ccc(CN(C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)c2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)cc1,Inhibition,1.01,1.01
CHEMBL29609,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,Inhibition,6.7,6.7
CHEMBL2147777,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,Inhibition,7.31,7.31
CHEMBL80713,COc1ccc(CNc2nc(N(CCO)CCO)nc3c2ncn3C(C)C)cc1,Inhibition,8.96,8.96
CHEMBL1200500,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,Inhibition,8.77,8.77
CHEMBL1450770,O=C1NCCCc2c1oc1ccc(O)cc21,Inhibition,7.71,7.71
CHEMBL108766,CCCCCCCCCCCC(=O)O,Inhibition,12.4,12.4
CHEMBL474133,COc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2cccc4ccccc24)C3)cc1,Inhibition,9.75,9.75
CHEMBL464825,O=c1c2cc(O)c(O)cc2oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,Inhibition,17.49,17.49
CHEMBL719,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,Inhibition,13.89,13.89
CHEMBL491473,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,Inhibition,10.93,10.93
CHEMBL31634,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,Inhibition,9.45,9.45
CHEMBL2364628,O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO,Inhibition,8.33,8.33
CHEMBL3426621,C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,Inhibition,7.07,7.07
CHEMBL708,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,Inhibition,12.21,12.21
CHEMBL4564923,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,Inhibition,12.86,12.86
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,Inhibition,-4.07,-4.07
CHEMBL715,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Inhibition,6.15,6.15
CHEMBL507361,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,Inhibition,4.12,4.12
CHEMBL158,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,Inhibition,4.61,4.61
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,Inhibition,5.52,5.52
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Inhibition,-0.94,-0.94
CHEMBL406703,N#CC(c1ccnc(NCCc2cccnc2)n1)c1nc2ccccc2s1,Inhibition,10.53,10.53
CHEMBL1089318,Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,Inhibition,9.9,9.9
CHEMBL3603847,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)cc1,Inhibition,0.55,0.55
